timestamp,coin,symbol,price,action,usd_amount,volume,portfolio_value,pnl
2025-06-29T04:11:56.408840,Tether,usdt,1.0,BUY,50.0,8952875635,10000.04,0.04
2025-06-29T04:11:56.408878,BNB,bnb,648.92,BUY,50.0,306908574,10000.04,0.04
2025-06-29T04:12:26.787223,Tether,usdt,1.0,BUY,50.0,12044756799,10000.03,0.03
2025-06-29T04:12:26.787256,BNB,bnb,648.91,BUY,50.0,300963157,10000.03,0.03
2025-06-29T04:12:57.051976,Tether,usdt,1.0,BUY,50.0,12044756799,10000.03,0.03
2025-06-29T04:12:57.052007,BNB,bnb,648.91,BUY,50.0,300963157,10000.03,0.03
2025-06-29T04:13:27.395402,Tether,usdt,1.0,BUY,50.0,15687033366,10000.03,0.03
2025-06-29T04:13:27.395435,BNB,bnb,648.9,BUY,50.0,308281887,10000.03,0.03
2025-06-29T04:13:57.668489,Tether,usdt,1.0,BUY,50.0,15687033366,10000.03,0.03
2025-06-29T04:13:57.668517,BNB,bnb,648.9,BUY,50.0,308281887,10000.03,0.03
2025-06-29T04:16:15.416265,Tether,usdt,1.0,SELL,300.0,20200002297,10000.11,0.11
2025-06-29T04:16:15.416303,BNB,bnb,649.0,BUY,50.0,339219218,10000.11,0.11
2025-06-29T04:16:45.753246,BNB,bnb,649.0,BUY,50.0,339219218,10000.11,0.11
2025-06-29T04:17:15.988389,BNB,bnb,649.0,BUY,50.0,339219218,10000.11,0.11
2025-06-29T04:17:46.314770,Tether,usdt,1.0,BUY,50.0,12588384439,10000.08,0.08
2025-06-29T04:17:46.314807,BNB,bnb,648.97,BUY,50.0,339693672,10000.08,0.08
2025-06-29T04:18:16.589282,Tether,usdt,1.0,BUY,50.0,12588384439,10000.08,0.08
2025-06-29T04:18:16.589312,BNB,bnb,648.97,BUY,50.0,339693672,10000.08,0.08
2025-06-29T04:18:46.828911,Tether,usdt,1.0,BUY,50.0,12588384439,10000.08,0.08
2025-06-29T04:18:46.828941,BNB,bnb,648.97,BUY,50.0,339693672,10000.08,0.08
2025-06-29T04:19:17.202483,Tether,usdt,1.0,BUY,50.0,14061923873,10000.11,0.11
2025-06-29T04:19:17.202520,BNB,bnb,648.99,BUY,50.0,339402479,10000.11,0.11
2025-06-29T04:19:47.482680,Tether,usdt,1.0,BUY,50.0,14061923873,10000.11,0.11
2025-06-29T04:19:47.482711,BNB,bnb,648.99,BUY,50.0,339402479,10000.11,0.11
2025-06-29T04:20:17.719418,Tether,usdt,1.0,BUY,50.0,14061923873,10000.11,0.11
2025-06-29T04:20:17.719458,BNB,bnb,648.99,BUY,50.0,339402479,10000.11,0.11
2025-06-29T04:20:48.052297,Tether,usdt,1.0,BUY,50.0,15080452735,10000.14,0.14
2025-06-29T04:20:48.052332,BNB,bnb,649.01,BUY,50.0,346772017,10000.14,0.14
2025-06-29T04:21:18.334107,Tether,usdt,1.0,BUY,50.0,15080452735,10000.14,0.14
2025-06-29T04:21:18.334138,BNB,bnb,649.01,BUY,50.0,346772017,10000.14,0.14
2025-06-29T04:21:48.578840,Tether,usdt,1.0,BUY,50.0,15080452735,10000.14,0.14
2025-06-29T04:21:48.578871,BNB,bnb,649.01,BUY,50.0,346772017,10000.14,0.14
2025-06-29T04:22:18.917730,Tether,usdt,1.0,BUY,50.0,10503705392,10000.1,0.1
2025-06-29T04:22:18.917786,BNB,bnb,648.99,BUY,50.0,348656869,10000.1,0.1
2025-06-29T04:22:49.150682,Tether,usdt,1.0,BUY,50.0,10503705392,10000.1,0.1
2025-06-29T04:22:49.150714,BNB,bnb,648.99,BUY,50.0,348656869,10000.1,0.1
2025-06-29T04:23:19.456640,Tether,usdt,1.0,BUY,50.0,11727809590,10000.06,0.06
2025-06-29T04:23:19.456675,BNB,bnb,648.97,BUY,50.0,348833797,10000.06,0.06
2025-06-29T04:23:49.682020,Tether,usdt,1.0,BUY,50.0,11727809590,10000.06,0.06
2025-06-29T04:23:49.682052,BNB,bnb,648.97,BUY,50.0,348833797,10000.06,0.06
2025-06-29T04:24:19.892908,Tether,usdt,1.0,BUY,50.0,11727809590,10000.06,0.06
2025-06-29T04:24:19.892939,BNB,bnb,648.97,BUY,50.0,348833797,10000.06,0.06
2025-06-29T04:24:50.200017,Tether,usdt,1.0,BUY,50.0,18089751670,10000.0,-0.0
2025-06-29T04:24:50.200051,BNB,bnb,648.94,BUY,50.0,348920009,10000.0,-0.0
2025-06-29T04:25:20.418398,Tether,usdt,1.0,BUY,50.0,18089751670,10000.0,-0.0
2025-06-29T04:25:20.418430,BNB,bnb,648.94,BUY,50.0,348920009,10000.0,-0.0
2025-06-29T04:25:50.631657,Tether,usdt,1.0,BUY,50.0,18089751670,10000.0,-0.0
2025-06-29T04:25:50.631696,BNB,bnb,648.94,BUY,50.0,348920009,10000.0,-0.0
2025-06-29T04:26:20.970515,Tether,usdt,1.0,SELL,850.0,18565070626,10000.05,0.05
2025-06-29T04:26:20.970548,BNB,bnb,648.96,BUY,50.0,347636692,10000.05,0.05
